id,universidad,carrera,area_academica,modalidad,semestres,fecha_oferta,ciudad
749,Uabjo,lic. en psicologia,administracion,presencial,6,2024-06-19,Lachixio
750,Colegio De Bachilleres,lic. en comunicacion,derecho,semi presencial,6,2024-07-18,Huajuapan
751,Univers. Autonoma,ingenieria civil,salud,presencial,10,2024-01-14,oaxaca capital
752,Ies Oaxaca,lic. en turismo,artes,semi presencial,6,2024-12-30,Etla
753,Colegio De Bachilleres,tec. en informatica,ingenieria,presencial,8,2024-05-23,Huajuapan
754,Tebacsso,administracion de empresas,ingenieria,virtual,8,2024-01-14,Pochutla
755,Tebacsso,tec. en electronica,educacion,presencial,8,2024-09-12,Pochutla
756,Uabjo,ingenieria civil,derecho,semi presencial,6,2024-11-01,Pochutla
757,Cecyte,diseño grafico,salud,virtual,6,2024-06-08,Pochutla
758,Uabjo,ingenieria en sistemas computacionales,humanidades,presencial,6,2024-08-12,Pochutla
759,Escuela Normal,lic. en economia,administracion,virtual,10,2024-05-24,juarez
760,Colegio De Bachilleres,lic. en economia,economia,semi presencial,10,2024-01-12,Huajuapan
761,Tecnologica Del Valle,ingenieria electronica,salud,virtual,6,2024-09-11,Tlacolula
762,Escuela Normal,ingenieria electronica,ingenieria,presencial,8,2024-03-17,Xoxocotlan
763,Centro De Estudios,tec en mecanica,ciencias sociales,presencial,8,2024-07-10,Xoxocotlan
764,Conalep,administracion de empresas,ciencias sociales,virtual,8,2024-07-20,juarez
765,Instituto Superior,lic. en filosofia,economia,presencial,6,2024-06-15,juarez
766,Ujat,lic. en educacion,humanidades,presencial,8,2024-03-05,Salina Cruz
767,Cecyte,contabilidad,derecho,presencial,6,2024-02-22,Lachixio
768,Tecnologica Del Valle,lic. en biologia,humanidades,virtual,6,2024-01-18,Etla
769,Conalep,lic. en comunicacion,educacion,presencial,6,2024-07-17,Etla
770,Tebacsso,lic. en economia,tecnologia,presencial,8,2024-12-23,Huajuapan
771,Tebacsso,contabilidad,economia,semi presencial,6,2024-08-22,Ixtlan
772,Centro De Estudios,administracion de empresas,humanidades,semi presencial,6,2024-11-14,juarez
773,Escuela Normal,ingenieria en sistemas computacionales,educacion,virtual,8,2024-04-20,Ixtlan
774,Uabjo,tec. en electronica,artes,semi presencial,8,2024-03-14,Tlacolula
775,Instituto Tecnologico,tec. en electronica,ciencias sociales,semi presencial,8,2024-06-16,Pochutla
776,Instituto Superior,lic. en educacion,ciencias sociales,presencial,8,2024-10-19,Pochutla
777,Univers. Autonoma,lic en enfermeria,ingenieria,presencial,10,2024-08-22,Ixtlan
778,Instituto Tecnologico,lic. en psicologia,humanidades,virtual,6,2024-04-25,Huajuapan
779,Conalep,diseño grafico,administracion,semi presencial,6,2024-09-18,Tlacolula
780,Instituto Superior,lic. en derecho,salud,virtual,6,2024-03-19,Huajuapan
781,Instituto Superior,lic. en comunicacion,educacion,virtual,10,2024-09-15,oaxaca capital
782,Ies Oaxaca,lic. en turismo,artes,virtual,10,2024-10-04,Pochutla
783,Instituto Tecnologico,administracion de empresas,tecnologia,presencial,6,2024-03-20,oaxaca capital
784,Centro De Estudios,contabilidad,ingenieria,presencial,6,2024-06-17,Pochutla
785,Univers. Autonoma,lic. en comunicacion,educacion,semi presencial,8,2024-10-24,juarez
786,Escuela Normal,administracion de empresas,ciencias sociales,semi presencial,8,2024-01-05,Pochutla
787,Tecnologica Del Valle,lic. en economia,educacion,semi presencial,10,2024-12-05,Salina Cruz
788,Colegio De Bachilleres,ingenieria en sistemas computacionales,economia,presencial,6,2024-03-29,Pochutla
789,Instituto Tecnologico,tec. en informatica,derecho,presencial,6,2024-03-17,Lachixio
790,Univers. Autonoma,lic en enfermeria,tecnologia,semi presencial,10,2024-03-09,Salina Cruz
791,Ujat,tec. en electronica,humanidades,presencial,6,2024-08-31,Salina Cruz
792,Instituto Superior,administracion de empresas,educacion,semi presencial,8,2024-05-31,Xoxocotlan
793,Instituto Tecnologico,lic. en educacion,artes,semi presencial,6,2024-01-04,Pochutla
794,Conalep,administracion de empresas,administracion,virtual,6,2024-04-27,Salina Cruz
795,Cecyte,lic. en psicologia,salud,semi presencial,8,2024-01-11,oaxaca capital
796,Uabjo,lic. en educacion,ciencias sociales,presencial,10,2024-01-19,Ixtlan
797,Colegio De Bachilleres,lic. en economia,artes,presencial,6,2024-07-25,Huajuapan
798,Tebacsso,ingenieria electronica,educacion,semi presencial,6,2024-12-11,Pochutla
799,Centro De Estudios,tec en mecanica,administracion,virtual,8,2024-01-20,Huajuapan
800,Escuela Normal,lic. en turismo,educacion,presencial,10,2024-11-13,Pochutla
801,Univers. Autonoma,contabilidad,tecnologia,semi presencial,8,2024-12-13,Tlacolula
802,Conalep,lic. en derecho,educacion,virtual,10,2024-09-04,Etla
803,Uabjo,administracion de empresas,educacion,semi presencial,6,2024-04-23,Lachixio
804,Instituto Superior,lic. en educacion,economia,presencial,10,2024-02-28,Ixtlan
805,Uabjo,lic. en filosofia,educacion,virtual,10,2024-09-07,Etla
806,Instituto Superior,lic. en economia,humanidades,virtual,6,2024-09-09,Tlacolula
807,Instituto Superior,lic. en psicologia,economia,virtual,6,2024-05-23,juarez
808,Instituto Superior,lic. en psicologia,ingenieria,virtual,8,2024-09-17,Etla
809,Ies Oaxaca,lic. en psicologia,administracion,presencial,6,2024-11-27,juarez
810,Escuela Normal,lic. en turismo,ciencias sociales,semi presencial,10,2024-04-19,Lachixio
811,Cecyte,diseño grafico,tecnologia,semi presencial,8,2024-12-16,Etla
812,Centro De Estudios,ingenieria electronica,artes,semi presencial,10,2024-03-16,Tlacolula
813,Conalep,tec en mecanica,administracion,semi presencial,10,2024-09-23,Ixtlan
814,Ies Oaxaca,lic en enfermeria,ciencias sociales,virtual,10,2024-06-14,Lachixio
815,Instituto Superior,lic. en derecho,salud,presencial,8,2024-12-12,Huajuapan
816,Centro De Estudios,lic. en psicologia,salud,presencial,10,2024-06-04,Tlacolula
817,Instituto Tecnologico,contabilidad,tecnologia,presencial,8,2024-02-24,Lachixio
818,Ies Oaxaca,lic. en filosofia,tecnologia,presencial,8,2024-03-29,Salina Cruz
819,Tecnologica Del Valle,tec en mecanica,administracion,presencial,6,2024-08-06,Etla
820,Cecyte,tec en mecanica,humanidades,semi presencial,8,2024-10-02,Xoxocotlan
821,Tecnologica Del Valle,diseño grafico,ciencias sociales,semi presencial,6,2024-01-24,Tlacolula
822,Univers. Autonoma,ingenieria civil,salud,semi presencial,8,2024-09-11,Salina Cruz
823,Escuela Normal,lic. en derecho,humanidades,virtual,6,2024-11-08,Lachixio
824,Univers. Autonoma,contabilidad,tecnologia,virtual,10,2024-06-15,Pochutla
825,Instituto Tecnologico,lic. en economia,artes,virtual,10,2024-10-02,Xoxocotlan
826,Conalep,ingenieria civil,administracion,semi presencial,10,2024-06-14,Xoxocotlan
827,Instituto Superior,lic. en filosofia,humanidades,semi presencial,8,2024-04-28,Huajuapan
828,Conalep,ingenieria electronica,ingenieria,semi presencial,10,2024-02-13,Huajuapan
829,Instituto Tecnologico,contabilidad,educacion,virtual,8,2024-08-14,Salina Cruz
830,Instituto Tecnologico,ingenieria electronica,administracion,presencial,6,2024-07-14,Tlacolula
831,Univers. Autonoma,lic. en biologia,derecho,semi presencial,10,2024-05-15,Huajuapan
832,Univers. Autonoma,diseño grafico,administracion,presencial,10,2024-01-12,Ixtlan
833,Ies Oaxaca,diseño grafico,ingenieria,virtual,8,2024-08-03,juarez
834,Tebacsso,ingenieria civil,ingenieria,semi presencial,8,2024-12-16,Etla
835,Tecnologica Del Valle,ingenieria en sistemas computacionales,salud,virtual,6,2024-10-18,Salina Cruz
836,Ies Oaxaca,lic. en turismo,salud,presencial,10,2024-05-21,Pochutla
837,Tecnologica Del Valle,administracion de empresas,artes,virtual,8,2024-05-14,Huajuapan
838,Instituto Tecnologico,lic. en derecho,tecnologia,presencial,8,2024-09-11,oaxaca capital
839,Centro De Estudios,tec. en electronica,administracion,semi presencial,6,2024-06-06,Xoxocotlan
840,Ujat,lic. en psicologia,humanidades,virtual,8,2024-03-11,Etla
841,Conalep,lic. en derecho,economia,semi presencial,8,2024-11-10,oaxaca capital
842,Cecyte,contabilidad,derecho,semi presencial,10,2024-03-27,Tlacolula
843,Ies Oaxaca,lic. en filosofia,ciencias sociales,virtual,8,2024-12-16,juarez
844,Instituto Superior,lic. en comunicacion,economia,presencial,10,2024-04-07,oaxaca capital
845,Escuela Normal,ingenieria en sistemas computacionales,salud,presencial,6,2024-11-27,Ixtlan
846,Tecnologica Del Valle,tec. en informatica,tecnologia,virtual,8,2024-12-09,Ixtlan
847,Univers. Autonoma,lic. en turismo,derecho,presencial,10,2024-10-15,oaxaca capital
848,Colegio De Bachilleres,lic. en turismo,salud,presencial,8,2024-03-13,Salina Cruz
849,Ujat,ingenieria electronica,ingenieria,virtual,8,2024-06-14,oaxaca capital
850,Conalep,lic. en educacion,humanidades,semi presencial,8,2024-08-04,juarez
851,Instituto Tecnologico,lic. en psicologia,administracion,presencial,10,2024-01-07,Xoxocotlan
852,Instituto Superior,contabilidad,humanidades,semi presencial,10,2024-07-02,Pochutla
853,Escuela Normal,lic. en filosofia,tecnologia,presencial,10,2024-02-29,Ixtlan
854,Colegio De Bachilleres,ingenieria en sistemas computacionales,educacion,presencial,6,2024-08-21,Salina Cruz
855,Escuela Normal,administracion de empresas,ingenieria,semi presencial,10,2024-12-18,Etla
856,Instituto Superior,lic. en biologia,artes,semi presencial,6,2024-09-26,Ixtlan
857,Instituto Tecnologico,lic. en filosofia,economia,virtual,6,2024-12-10,Tlacolula
858,Tecnologica Del Valle,lic. en comunicacion,humanidades,virtual,6,2024-09-16,Etla
859,Conalep,tec en mecanica,economia,presencial,10,2024-11-04,Salina Cruz
860,Ujat,diseño grafico,economia,semi presencial,8,2024-12-24,juarez
861,Ies Oaxaca,diseño grafico,salud,virtual,10,2024-12-11,Xoxocotlan
862,Conalep,lic. en economia,derecho,virtual,8,2024-07-05,juarez
863,Colegio De Bachilleres,lic. en comunicacion,economia,presencial,8,2024-08-29,Etla
864,Cecyte,tec. en informatica,tecnologia,semi presencial,10,2024-07-07,oaxaca capital
865,Centro De Estudios,ingenieria civil,educacion,presencial,6,2024-09-26,Tlacolula
866,Univers. Autonoma,ingenieria electronica,educacion,semi presencial,10,2024-05-24,Tlacolula
867,Ies Oaxaca,tec. en informatica,humanidades,virtual,6,2024-01-14,Tlacolula
868,Colegio De Bachilleres,lic. en comunicacion,salud,virtual,6,2024-09-01,oaxaca capital
869,Tebacsso,ingenieria civil,artes,semi presencial,6,2024-06-28,juarez
870,Cecyte,diseño grafico,tecnologia,presencial,10,2024-08-15,oaxaca capital
871,Instituto Tecnologico,lic. en comunicacion,administracion,presencial,10,2024-12-12,Salina Cruz
872,Centro De Estudios,lic. en filosofia,ciencias sociales,virtual,8,2024-02-17,Etla
873,Centro De Estudios,lic. en derecho,administracion,virtual,8,2024-06-14,oaxaca capital
874,Cecyte,lic. en filosofia,salud,virtual,8,2024-01-27,Huajuapan
875,Ies Oaxaca,lic. en derecho,salud,virtual,8,2024-01-04,Xoxocotlan
876,Uabjo,tec. en electronica,humanidades,virtual,6,2024-08-02,Xoxocotlan
877,Cecyte,lic en enfermeria,administracion,presencial,8,2024-07-16,Lachixio
878,Tecnologica Del Valle,ingenieria electronica,economia,virtual,8,2024-08-08,Lachixio
879,Uabjo,diseño grafico,derecho,presencial,6,2024-08-26,Ixtlan
880,Tebacsso,contabilidad,humanidades,presencial,10,2024-05-25,oaxaca capital
881,Escuela Normal,contabilidad,tecnologia,presencial,8,2024-12-06,juarez
882,Univers. Autonoma,lic. en comunicacion,tecnologia,presencial,10,2024-08-14,Huajuapan
883,Tecnologica Del Valle,lic. en psicologia,administracion,virtual,6,2024-08-03,Huajuapan
884,Centro De Estudios,lic. en economia,ingenieria,semi presencial,10,2024-09-27,juarez
885,Cecyte,tec. en informatica,derecho,presencial,6,2024-04-10,Xoxocotlan
886,Centro De Estudios,ingenieria civil,derecho,semi presencial,10,2024-03-08,Lachixio
887,Escuela Normal,lic en enfermeria,salud,presencial,10,2024-04-30,Lachixio
888,Uabjo,lic. en filosofia,ingenieria,presencial,10,2024-10-17,Xoxocotlan
889,Instituto Superior,lic. en educacion,tecnologia,semi presencial,8,2024-11-26,Pochutla
890,Uabjo,diseño grafico,artes,semi presencial,6,2024-09-29,Huajuapan
891,Conalep,lic. en turismo,educacion,presencial,6,2024-08-13,Etla
892,Cecyte,tec en mecanica,tecnologia,virtual,8,2024-05-31,juarez
893,Tebacsso,lic. en filosofia,artes,virtual,10,2024-08-16,Ixtlan
894,Instituto Superior,diseño grafico,ingenieria,virtual,8,2024-11-22,oaxaca capital
895,Tebacsso,tec. en informatica,salud,presencial,8,2024-09-01,Xoxocotlan
896,Colegio De Bachilleres,ingenieria electronica,derecho,presencial,6,2024-06-05,Tlacolula
897,Escuela Normal,lic en enfermeria,administracion,presencial,6,2024-10-26,Ixtlan
898,Tebacsso,lic. en economia,salud,presencial,6,2024-06-05,oaxaca capital
899,Ies Oaxaca,lic. en derecho,ingenieria,virtual,8,2024-12-26,Lachixio
900,Centro De Estudios,ingenieria civil,administracion,semi presencial,8,2024-12-13,Xoxocotlan
901,Ujat,ingenieria civil,ciencias sociales,semi presencial,8,2024-03-17,Tlacolula
902,Ujat,ingenieria electronica,humanidades,presencial,8,2024-06-01,juarez
903,Instituto Superior,ingenieria en sistemas computacionales,administracion,presencial,8,2024-05-16,Tlacolula
904,Centro De Estudios,ingenieria civil,educacion,semi presencial,10,2024-03-08,oaxaca capital
905,Tebacsso,lic. en psicologia,tecnologia,presencial,10,2024-10-04,Pochutla
906,Cecyte,tec. en electronica,humanidades,semi presencial,6,2024-01-24,Ixtlan
907,Univers. Autonoma,lic. en biologia,ciencias sociales,virtual,8,2024-05-11,Lachixio
908,Univers. Autonoma,lic. en psicologia,derecho,virtual,10,2024-11-25,Xoxocotlan
909,Uabjo,ingenieria electronica,tecnologia,presencial,10,2024-01-16,Ixtlan
910,Cecyte,lic. en comunicacion,ingenieria,presencial,10,2024-01-14,Etla
911,Ujat,lic. en educacion,humanidades,semi presencial,6,2024-02-09,Etla
912,Escuela Normal,lic. en turismo,economia,presencial,6,2024-12-26,Salina Cruz
913,Cecyte,contabilidad,artes,virtual,8,2024-05-06,juarez
914,Cecyte,lic. en biologia,ciencias sociales,virtual,8,2024-08-12,Tlacolula
915,Escuela Normal,tec. en informatica,humanidades,virtual,10,2024-12-10,Salina Cruz
916,Centro De Estudios,tec. en informatica,artes,virtual,10,2024-08-07,Tlacolula
917,Tebacsso,lic. en turismo,economia,semi presencial,8,2024-04-28,Pochutla
918,Colegio De Bachilleres,tec. en electronica,educacion,semi presencial,6,2024-10-13,oaxaca capital
919,Univers. Autonoma,tec. en informatica,economia,presencial,10,2024-04-04,Salina Cruz
920,Ies Oaxaca,ingenieria en sistemas computacionales,educacion,virtual,6,2024-04-10,Lachixio
921,Ies Oaxaca,lic. en biologia,derecho,virtual,8,2024-02-02,Huajuapan
922,Univers. Autonoma,lic en enfermeria,administracion,semi presencial,8,2024-08-29,oaxaca capital
923,Instituto Superior,tec. en electronica,humanidades,virtual,8,2024-03-13,Salina Cruz
924,Instituto Superior,lic. en filosofia,tecnologia,semi presencial,10,2024-05-12,Ixtlan
925,Instituto Superior,lic. en filosofia,salud,semi presencial,6,2024-07-11,Ixtlan
926,Colegio De Bachilleres,ingenieria civil,administracion,presencial,6,2024-02-24,Salina Cruz
927,Escuela Normal,lic. en educacion,administracion,semi presencial,6,2024-03-17,Huajuapan
928,Tecnologica Del Valle,lic. en filosofia,ingenieria,presencial,10,2024-07-18,Lachixio
929,Ies Oaxaca,tec. en electronica,ingenieria,semi presencial,10,2024-02-04,Lachixio
930,Escuela Normal,lic. en psicologia,ciencias sociales,semi presencial,10,2024-05-05,Tlacolula
931,Cecyte,contabilidad,administracion,presencial,8,2024-11-11,Huajuapan
932,Instituto Superior,lic. en turismo,ingenieria,presencial,10,2024-02-26,Etla
933,Colegio De Bachilleres,tec en mecanica,economia,presencial,10,2024-10-17,Pochutla
934,Colegio De Bachilleres,tec. en informatica,derecho,virtual,6,2024-01-11,Ixtlan
935,Colegio De Bachilleres,tec en mecanica,administracion,semi presencial,6,2024-08-04,Tlacolula
936,Centro De Estudios,lic. en turismo,derecho,virtual,10,2024-02-07,juarez
937,Instituto Tecnologico,tec. en electronica,tecnologia,virtual,6,2024-01-02,juarez
938,Cecyte,lic. en economia,derecho,presencial,6,2024-01-25,Lachixio
939,Escuela Normal,lic. en biologia,derecho,presencial,8,2024-12-30,oaxaca capital
940,Instituto Superior,lic. en psicologia,ciencias sociales,semi presencial,6,2024-05-23,Etla
941,Instituto Tecnologico,lic. en filosofia,salud,presencial,8,2024-05-07,oaxaca capital
942,Ies Oaxaca,lic. en derecho,salud,semi presencial,6,2024-09-25,Pochutla
943,Instituto Tecnologico,lic. en derecho,ciencias sociales,virtual,8,2024-07-11,Ixtlan
944,Instituto Tecnologico,lic. en filosofia,artes,virtual,10,2024-10-05,oaxaca capital
945,Escuela Normal,ingenieria civil,ingenieria,presencial,10,2024-06-12,Salina Cruz
946,Centro De Estudios,lic. en educacion,artes,semi presencial,6,2024-10-07,juarez
947,Univers. Autonoma,lic. en educacion,derecho,virtual,8,2024-11-02,juarez
948,Ujat,ingenieria civil,derecho,semi presencial,8,2024-03-26,oaxaca capital
949,Escuela Normal,tec en mecanica,derecho,virtual,8,2024-02-03,Tlacolula
950,Ujat,lic. en turismo,artes,semi presencial,10,2024-11-14,Pochutla
951,Centro De Estudios,tec. en electronica,artes,presencial,8,2024-01-08,Etla
952,Univers. Autonoma,lic. en turismo,economia,semi presencial,8,2024-01-21,Huajuapan
953,Ujat,lic. en economia,humanidades,semi presencial,8,2024-06-25,Lachixio
954,Colegio De Bachilleres,ingenieria en sistemas computacionales,economia,virtual,6,2024-10-27,Salina Cruz
955,Cecyte,ingenieria civil,administracion,presencial,10,2024-11-20,Huajuapan
956,Ujat,lic. en biologia,ciencias sociales,presencial,6,2024-03-18,juarez
957,Univers. Autonoma,diseño grafico,ingenieria,semi presencial,10,2024-03-06,Xoxocotlan
958,Uabjo,lic. en comunicacion,administracion,presencial,6,2024-03-01,juarez
959,Tecnologica Del Valle,lic. en psicologia,ingenieria,virtual,8,2024-03-24,Etla
960,Cecyte,lic. en comunicacion,administracion,semi presencial,10,2024-12-31,Xoxocotlan
961,Tebacsso,lic en enfermeria,ciencias sociales,virtual,8,2024-04-05,Etla
962,Uabjo,lic. en biologia,tecnologia,semi presencial,8,2024-09-06,oaxaca capital
963,Ies Oaxaca,tec en mecanica,ciencias sociales,presencial,10,2024-01-21,Tlacolula
964,Instituto Superior,ingenieria civil,educacion,virtual,6,2024-05-28,Tlacolula
965,Uabjo,tec. en informatica,ingenieria,virtual,8,2024-12-11,juarez
966,Tebacsso,lic en enfermeria,derecho,presencial,10,2024-04-23,Salina Cruz
967,Instituto Tecnologico,lic. en economia,artes,virtual,10,2024-03-14,oaxaca capital
968,Univers. Autonoma,contabilidad,tecnologia,virtual,10,2024-04-20,Salina Cruz
969,Instituto Tecnologico,lic. en comunicacion,humanidades,virtual,10,2024-08-26,Ixtlan
970,Ujat,lic en enfermeria,ciencias sociales,presencial,6,2024-10-12,Tlacolula
971,Escuela Normal,lic. en biologia,derecho,presencial,8,2024-02-11,Huajuapan
972,Ujat,lic. en biologia,derecho,semi presencial,8,2024-01-17,Etla
973,Escuela Normal,lic en enfermeria,economia,virtual,6,2024-03-14,Tlacolula
974,Uabjo,lic en enfermeria,tecnologia,virtual,6,2024-04-04,Ixtlan
975,Centro De Estudios,tec en mecanica,humanidades,presencial,10,2024-03-29,oaxaca capital
976,Instituto Superior,ingenieria civil,salud,virtual,10,2024-01-13,Lachixio
977,Cecyte,contabilidad,educacion,virtual,10,2024-05-21,oaxaca capital
978,Centro De Estudios,tec en mecanica,administracion,semi presencial,8,2024-09-14,juarez
979,Colegio De Bachilleres,lic. en filosofia,ingenieria,presencial,8,2024-03-01,juarez
980,Univers. Autonoma,ingenieria civil,ciencias sociales,virtual,6,2024-01-13,Salina Cruz
981,Centro De Estudios,lic. en turismo,artes,presencial,8,2024-01-09,Salina Cruz
982,Instituto Tecnologico,tec en mecanica,derecho,semi presencial,8,2024-09-07,oaxaca capital
983,Uabjo,lic. en biologia,artes,virtual,6,2024-11-13,Xoxocotlan
984,Univers. Autonoma,tec en mecanica,salud,presencial,6,2024-03-13,Ixtlan
985,Instituto Tecnologico,ingenieria electronica,derecho,presencial,10,2024-09-29,Pochutla
986,Centro De Estudios,ingenieria civil,educacion,virtual,6,2024-11-23,Lachixio
987,Uabjo,lic. en psicologia,salud,virtual,8,2024-01-07,Xoxocotlan
988,Centro De Estudios,lic. en filosofia,ingenieria,presencial,6,2024-09-01,Ixtlan
989,Conalep,tec en mecanica,derecho,semi presencial,6,2024-04-23,Tlacolula
990,Tebacsso,lic. en psicologia,artes,virtual,6,2024-08-18,Tlacolula
991,Univers. Autonoma,lic. en comunicacion,artes,semi presencial,8,2024-02-12,Lachixio
992,Tebacsso,ingenieria electronica,administracion,presencial,8,2024-01-14,Ixtlan
993,Cecyte,tec. en electronica,ciencias sociales,semi presencial,8,2024-03-13,Salina Cruz
994,Tebacsso,lic. en filosofia,ciencias sociales,virtual,10,2024-08-08,Salina Cruz
995,Ujat,tec. en electronica,economia,presencial,10,2024-02-21,Pochutla
996,Uabjo,lic. en biologia,administracion,semi presencial,8,2024-03-07,Xoxocotlan
997,Ujat,lic. en economia,humanidades,presencial,10,2024-12-20,juarez
998,Univers. Autonoma,ingenieria electronica,salud,semi presencial,6,2024-02-26,Etla
999,Univers. Autonoma,contabilidad,ingenieria,presencial,8,2024-06-24,oaxaca capital
1000,Univers. Autonoma,ingenieria civil,derecho,presencial,6,2024-10-15,Huajuapan
1001,Centro De Estudios,lic. en biologia,ingenieria,presencial,6,2024-04-23,Xoxocotlan
1002,Tebacsso,lic. en comunicacion,tecnologia,semi presencial,6,2024-11-05,oaxaca capital
1003,Centro De Estudios,lic. en derecho,economia,semi presencial,10,2024-03-04,Etla
1004,Ies Oaxaca,lic. en comunicacion,administracion,semi presencial,8,2024-07-11,Tlacolula
1005,Colegio De Bachilleres,lic en enfermeria,humanidades,semi presencial,10,2024-03-29,Pochutla
1006,Ies Oaxaca,lic. en comunicacion,economia,presencial,6,2024-04-11,Etla
1007,Cecyte,lic. en turismo,economia,presencial,10,2024-11-23,Tlacolula
1008,Ujat,lic. en educacion,economia,presencial,6,2024-09-06,Tlacolula
1009,Ujat,lic. en psicologia,ciencias sociales,virtual,10,2024-12-18,Huajuapan
1010,Conalep,ingenieria en sistemas computacionales,derecho,presencial,10,2024-05-26,Etla
1011,Ujat,lic. en turismo,ciencias sociales,virtual,8,2024-02-23,Salina Cruz
1012,Tecnologica Del Valle,lic. en biologia,administracion,semi presencial,10,2024-03-17,Etla
1013,Uabjo,lic. en psicologia,administracion,semi presencial,6,2024-03-17,Etla
1014,Cecyte,ingenieria electronica,artes,presencial,8,2024-09-23,Salina Cruz
1015,Uabjo,lic. en psicologia,economia,virtual,10,2024-06-25,Lachixio
1016,Ujat,tec. en informatica,ingenieria,presencial,8,2024-11-22,oaxaca capital
1017,Univers. Autonoma,ingenieria en sistemas computacionales,ciencias sociales,presencial,8,2024-03-13,Salina Cruz
1018,Cecyte,lic. en biologia,ciencias sociales,semi presencial,10,2024-10-26,Tlacolula
1019,Uabjo,contabilidad,educacion,semi presencial,6,2024-10-01,Lachixio
1020,Conalep,lic. en derecho,ciencias sociales,presencial,10,2024-04-24,juarez
1021,Tebacsso,lic en enfermeria,humanidades,presencial,8,2024-04-11,Etla
1022,Ujat,administracion de empresas,humanidades,semi presencial,8,2024-11-15,Tlacolula
1023,Univers. Autonoma,lic. en derecho,salud,virtual,10,2024-07-12,Salina Cruz
1024,Centro De Estudios,diseño grafico,salud,semi presencial,8,2024-01-21,Tlacolula
1025,Univers. Autonoma,lic. en filosofia,educacion,virtual,10,2024-09-26,Pochutla
1026,Tecnologica Del Valle,tec. en informatica,humanidades,semi presencial,10,2024-03-05,Lachixio
1027,Ujat,lic. en psicologia,ciencias sociales,presencial,6,2024-08-19,Pochutla
1028,Instituto Tecnologico,lic. en biologia,artes,virtual,10,2024-02-23,Salina Cruz
1029,Colegio De Bachilleres,lic. en biologia,economia,presencial,6,2024-07-29,Huajuapan
1030,Colegio De Bachilleres,lic. en derecho,ingenieria,semi presencial,10,2024-05-04,Tlacolula
1031,Cecyte,lic. en filosofia,humanidades,semi presencial,8,2024-07-11,Pochutla
1032,Uabjo,lic. en educacion,tecnologia,presencial,8,2024-08-16,juarez
1033,Centro De Estudios,ingenieria civil,educacion,presencial,6,2024-03-15,Lachixio
1034,Centro De Estudios,lic en enfermeria,ciencias sociales,virtual,10,2024-06-20,oaxaca capital
1035,Centro De Estudios,tec en mecanica,educacion,presencial,10,2024-07-24,oaxaca capital
1036,Tebacsso,lic. en filosofia,salud,virtual,8,2024-10-17,Pochutla
1037,Uabjo,diseño grafico,derecho,virtual,8,2024-11-12,Ixtlan
1038,Uabjo,lic en enfermeria,educacion,semi presencial,10,2024-12-28,Tlacolula
1039,Tebacsso,diseño grafico,humanidades,semi presencial,10,2024-12-10,Ixtlan
1040,Escuela Normal,tec. en informatica,derecho,semi presencial,10,2024-11-01,Xoxocotlan
1041,Ujat,lic. en educacion,economia,presencial,6,2024-06-24,Xoxocotlan
1042,Escuela Normal,lic. en educacion,ingenieria,virtual,10,2024-01-09,Xoxocotlan
1043,Conalep,tec. en informatica,ingenieria,presencial,10,2024-07-02,Tlacolula
1044,Centro De Estudios,diseño grafico,ciencias sociales,presencial,6,2024-12-23,Etla
1045,Instituto Superior,lic en enfermeria,educacion,virtual,6,2024-05-19,oaxaca capital
1046,Uabjo,lic en enfermeria,ciencias sociales,semi presencial,10,2024-12-08,Xoxocotlan
1047,Centro De Estudios,tec. en informatica,artes,presencial,10,2024-01-31,Etla
1048,Conalep,ingenieria en sistemas computacionales,economia,virtual,10,2024-06-17,Pochutla
1049,Ujat,lic. en educacion,administracion,presencial,6,2024-11-14,Salina Cruz
1050,Centro De Estudios,lic. en comunicacion,humanidades,semi presencial,10,2024-01-06,oaxaca capital
1051,Instituto Tecnologico,lic. en biologia,humanidades,virtual,6,2024-12-03,oaxaca capital
1052,Tebacsso,lic. en educacion,ciencias sociales,presencial,10,2024-11-17,Huajuapan
1053,Instituto Tecnologico,lic en enfermeria,administracion,presencial,6,2024-05-19,Tlacolula
1054,Tebacsso,diseño grafico,tecnologia,semi presencial,8,2024-10-05,Pochutla
1055,Escuela Normal,lic. en psicologia,administracion,semi presencial,8,2024-09-16,juarez
1056,Tecnologica Del Valle,administracion de empresas,administracion,presencial,6,2024-03-24,Pochutla
1057,Tebacsso,ingenieria en sistemas computacionales,economia,semi presencial,6,2024-10-15,Pochutla
1058,Ies Oaxaca,administracion de empresas,educacion,virtual,6,2024-10-23,juarez
1059,Tecnologica Del Valle,lic. en biologia,salud,virtual,6,2024-01-06,juarez
1060,Cecyte,lic. en biologia,educacion,virtual,8,2024-04-26,Ixtlan
1061,Tebacsso,ingenieria civil,artes,presencial,10,2024-10-04,Xoxocotlan
1062,Tecnologica Del Valle,ingenieria electronica,tecnologia,semi presencial,8,2024-02-15,Salina Cruz
1063,Centro De Estudios,lic. en turismo,humanidades,virtual,8,2024-12-26,Salina Cruz
1064,Tebacsso,tec en mecanica,economia,presencial,8,2024-01-22,juarez
1065,Conalep,ingenieria civil,educacion,semi presencial,8,2024-03-24,Lachixio
1066,Univers. Autonoma,lic. en turismo,artes,virtual,6,2024-03-14,Etla
