id,profesion,tasa_ocupacion,nivel_educativo,fecha_registro,municipio
447,conductor,50.2,lic.incompleta,2024-01-04,Santa Catarina
448,consultor,87.7,doctorado,2024-06-04,Santa Catarina
449,camarero,58.4,bachillerato,2024-08-27,oaxaca capital
450,contador,80.7,maestria,2024-12-14,Pochutla
451,cocinero,57.8,maestria,2024-09-23,Huatulco
452,tec. en electricidad,42.8,tecnico,2024-09-16,juarez
453,jardinero,79.1,primaria,2024-05-03,Ixtlan
454,dentista,84.2,maestria,2024-07-11,Puerto Escondido
455,analista,88.6,bachillerato,2024-07-11,Macuiltianguis
456,camarero,81.8,tecnico,2024-05-10,Puerto Escondido
457,técnico en telecomunicaciones,54.4,prof.univ.,2024-04-01,Pochutla
458,vendedor,46.0,bachillerato,2024-11-13,San Pablo Etla
459,electricista,78.0,lic.incompleta,2024-06-06,Huatulco
460,electricista,42.4,licenciatura completa,2024-12-05,Tututepec
461,arquitecto,73.9,licenciatura completa,2024-01-03,Ixtlan
462,tec. en electricidad,58.1,primaria,2024-08-30,Crucecita
463,enfermero,45.7,bachillerato,2024-12-27,Puerto Escondido
464,contador,90.9,secundaria,2024-03-02,Huatulco
465,psicólogo,86.1,secundaria,2024-04-30,Tututepec
466,representante comercial,66.0,licenciatura completa,2024-11-01,Puerto Escondido
467,jardinero,93.4,prof.univ.,2024-10-20,Lachixio
468,profesor,51.9,doctorado,2024-12-02,Ocotlan
469,guardia de seguridad,50.7,licenciatura completa,2024-06-22,Lachixio
470,chef,49.7,maestria,2024-07-01,juarez
471,supervisor,94.5,licenciatura completa,2024-09-20,Ixtlan
472,supervisor,60.3,tecnico,2024-02-03,Santiago
473,técnico en electrónica,47.8,maestria,2024-11-21,Huajuapan
474,profesor,86.6,licenciatura completa,2024-03-19,Pochutla
475,enfermero,79.3,licenciatura completa,2024-08-04,oaxaca capital
476,vendedor,66.4,maestria,2024-02-12,Macuiltianguis
477,tec. en electricidad,83.1,licenciatura completa,2024-04-03,Tututepec
478,camarero,81.6,tecnico,2024-06-05,juarez
479,ingeniero de sistemas,42.2,bachillerato,2024-05-01,Crucecita
480,gerente,49.1,primaria,2024-05-02,San Juan
481,consultor,71.8,prof.univ.,2024-08-12,Lachixio
482,pintor,74.9,prof.univ.,2024-03-24,Lachixio
483,diseñador grafico,49.2,doctorado,2024-12-31,Santiago
484,gerente,52.8,prof.univ.,2024-03-14,Tlacolula
485,académico,64.4,primaria,2024-01-03,Crucecita
486,ingeniero de sistemas,41.2,maestria,2024-02-13,Huajuapan
487,contador,49.2,maestria,2024-10-17,Lachixio
488,electricista,49.5,especialidad,2024-04-15,Tututepec
489,investigador,51.2,lic.incompleta,2024-10-21,Santa Catarina
490,cocinero,79.6,tecnico,2024-03-28,Puerto Escondido
491,capacitador,94.6,bachillerato,2024-10-02,Tututepec
492,tec. en electricidad,65.5,lic.incompleta,2024-09-22,juarez
493,camarero,88.0,lic.incompleta,2024-02-08,Tututepec
494,soldador,65.0,bachillerato,2024-11-04,Lachixio
495,técnico de mantenimiento,52.2,especialidad,2024-10-16,Ocotlan
496,arquitecto,73.8,bachillerato,2024-07-12,Huatulco
497,guardia de seguridad,93.0,especialidad,2024-06-24,Lachixio
498,docente,73.3,primaria,2024-03-01,San Pablo Etla
499,técnico en telecomunicaciones,49.1,secundaria,2024-12-14,Xoxocotlan
500,investigador,62.8,doctorado,2024-04-26,Huajuapan
501,docente,56.9,secundaria,2024-12-12,oaxaca capital
502,técnico en electrónica,54.4,tecnico,2024-07-03,Crucecita
503,académico,53.1,lic.incompleta,2024-01-04,San Pablo Etla
504,dentista,43.3,maestria,2024-10-10,juarez
505,guardia de seguridad,69.5,especialidad,2024-11-14,Lachixio
506,cocinero,45.6,prof.univ.,2024-09-16,Lachixio
507,mecanico,92.3,secundaria,2024-02-20,Tututepec
508,coordinador,67.1,bachillerato,2024-12-17,Santa Catarina
509,contador,81.3,licenciatura completa,2024-01-27,Huatulco
510,coordinador,64.1,primaria,2024-10-18,Puerto Escondido
511,diseñador grafico,56.8,lic.incompleta,2024-08-19,oaxaca capital
512,psicólogo,52.9,tecnico,2024-11-30,juarez
513,coordinador,46.2,tecnico,2024-05-12,San Pablo Etla
514,chef,63.8,prof.univ.,2024-04-19,Puerto Escondido
515,técnico en telecomunicaciones,41.1,bachillerato,2024-09-28,San Pablo Etla
516,técnico de mantenimiento,46.2,bachillerato,2024-11-20,Macuiltianguis
517,investigador,94.3,maestria,2024-04-07,Tlacolula
518,arquitecto,66.1,secundaria,2024-07-16,Macuiltianguis
519,técnico en telecomunicaciones,44.4,secundaria,2024-06-15,San Pablo Etla
520,técnico en electrónica,56.2,maestria,2024-01-16,San Pablo Etla
521,técnico en electrónica,61.1,prof.univ.,2024-01-01,San Pablo Etla
522,pintor,45.9,primaria,2024-04-23,Crucecita
523,auditor,81.6,doctorado,2024-04-05,Santiago
524,vendedor,50.8,especialidad,2024-04-14,Tlacolula
525,camarero,88.6,licenciatura completa,2024-10-02,San Juan
526,técnico en electrónica,62.7,doctorado,2024-01-08,Crucecita
527,jardinero,68.5,primaria,2024-09-16,Lachixio
528,diseñador grafico,87.6,doctorado,2024-03-07,San Pablo Etla
529,plomero,55.4,doctorado,2024-03-30,Etla
530,camarero,47.7,primaria,2024-08-15,Ixtlan
531,profesor,48.7,licenciatura completa,2024-01-17,Tututepec
532,vendedor,74.6,tecnico,2024-07-15,Puerto Escondido
533,carpintero,89.3,especialidad,2024-11-05,San Pablo Etla
534,auditor,49.9,lic.incompleta,2024-08-29,Tututepec
535,electricista,91.3,doctorado,2024-03-04,Puerto Escondido
536,soldador,60.8,secundaria,2024-05-13,Ixtlan
537,técnico en electrónica,90.1,maestria,2024-06-17,San Pablo Etla
538,ingeniero de sistemas,94.5,doctorado,2024-05-04,San Juan
539,pintor,59.1,maestria,2024-09-14,San Pablo Etla
540,supervisor,71.1,maestria,2024-08-17,Ocotlan
541,representante comercial,85.1,doctorado,2024-03-31,Etla
542,jardinero,60.5,especialidad,2024-03-18,oaxaca capital
543,maestro de obra,73.4,doctorado,2024-02-06,Huatulco
544,capacitador,52.6,maestria,2024-10-25,Xoxocotlan
545,enfermero,51.2,prof.univ.,2024-05-07,juarez
546,cocinero,90.8,secundaria,2024-05-06,Ocotlan
547,soldador,82.2,bachillerato,2024-11-23,Crucecita
548,coordinador,76.3,maestria,2024-05-04,Tututepec
549,guardia de seguridad,73.6,bachillerato,2024-12-25,Santa Catarina
550,auditor,65.9,bachillerato,2024-07-30,Etla
551,conductor,58.7,primaria,2024-05-05,oaxaca capital
552,maestro de obra,72.9,maestria,2024-01-06,Santiago
553,investigador,83.3,prof.univ.,2024-11-15,San Juan
554,chef,68.5,lic.incompleta,2024-04-20,Ixtlan
555,dentista,54.0,bachillerato,2024-03-08,Ixtlan
556,diseñador grafico,91.9,secundaria,2024-04-19,Santiago
557,mecanico,49.3,secundaria,2024-07-28,Huatulco
558,vendedor,52.0,secundaria,2024-06-12,Lachixio
559,capacitador,48.9,maestria,2024-10-25,Tlacolula
560,abogado,66.9,lic.incompleta,2024-02-02,Etla
561,contador,58.1,licenciatura completa,2024-11-09,Crucecita
562,auditor,50.2,prof.univ.,2024-05-27,Macuiltianguis
563,tec. en electricidad,42.6,maestria,2024-03-31,Pochutla
564,chef,84.2,lic.incompleta,2024-12-25,San Pablo Etla
565,chef,90.8,lic.incompleta,2024-10-10,Macuiltianguis
566,académico,92.5,licenciatura completa,2024-06-14,Pochutla
567,ejecutivo de ventas,82.4,primaria,2024-08-14,Crucecita
568,carpintero,94.4,especialidad,2024-11-24,San Juan
569,transportista,77.4,bachillerato,2024-02-24,San Juan
570,coordinador,75.6,secundaria,2024-03-13,Huatulco
571,transportista,71.3,secundaria,2024-02-25,San Pablo Etla
572,vendedor,86.9,especialidad,2024-08-06,San Juan
573,ejecutivo de ventas,92.6,secundaria,2024-01-21,Ixtlan
574,enfermero,49.7,secundaria,2024-03-26,Tututepec
575,abogado,83.3,maestria,2024-08-09,Lachixio
576,docente,62.6,maestria,2024-05-20,Huajuapan
577,contador,83.6,licenciatura completa,2024-03-31,Lachixio
578,coordinador,41.9,especialidad,2024-11-29,Lachixio
579,pintor,52.4,bachillerato,2024-04-24,Etla
580,contador,74.1,doctorado,2024-09-21,Salina Cruz
581,maestro de obra,52.1,licenciatura completa,2024-01-22,Lachixio
582,soldador,75.5,prof.univ.,2024-06-17,Santa Catarina
583,consultor,71.4,prof.univ.,2024-08-18,Crucecita
584,conductor,59.0,especialidad,2024-03-06,Etla
585,transportista,41.2,doctorado,2024-03-24,Santa Catarina
586,técnico en electrónica,73.9,secundaria,2024-06-15,Macuiltianguis
587,técnico en electrónica,55.2,licenciatura completa,2024-11-23,Huajuapan
588,académico,68.7,prof.univ.,2024-07-04,Ixtlan
589,soldador,66.9,maestria,2024-10-22,Etla
590,capacitador,46.3,bachillerato,2024-12-15,Xoxocotlan
591,programador,72.1,maestria,2024-03-30,Santa Catarina
592,coordinador,77.4,doctorado,2024-02-19,oaxaca capital
593,consultor,59.1,maestria,2024-02-09,Santiago
594,electricista,86.6,bachillerato,2024-09-02,oaxaca capital
595,transportista,88.2,secundaria,2024-12-04,Huatulco
596,ejecutivo de ventas,93.7,secundaria,2024-10-31,Pochutla
597,carpintero,41.3,secundaria,2024-12-03,oaxaca capital
598,soldador,63.4,maestria,2024-08-23,Ocotlan
599,gerente,79.4,bachillerato,2024-06-12,Santiago
600,camarero,62.8,secundaria,2024-08-26,oaxaca capital
601,economista,54.6,bachillerato,2024-04-22,Tlacolula
602,electricista,84.9,maestria,2024-03-29,Ocotlan
603,economista,86.1,lic.incompleta,2024-08-14,Huatulco
604,cocinero,57.6,secundaria,2024-05-18,Pochutla
605,conductor,74.7,especialidad,2024-03-20,Ocotlan
606,diseñador grafico,92.0,primaria,2024-01-19,Puerto Escondido
607,técnico en electrónica,93.3,maestria,2024-04-19,Tututepec
608,ingeniero de sistemas,90.8,primaria,2024-01-31,Huajuapan
609,técnico en telecomunicaciones,77.5,tecnico,2024-01-03,Etla
610,contador,64.8,primaria,2024-12-09,Crucecita
611,programador,65.6,tecnico,2024-08-08,Xoxocotlan
612,académico,44.9,maestria,2024-07-25,Ixtlan
613,gerente,48.8,doctorado,2024-01-05,Santiago
614,abogado,47.7,primaria,2024-09-29,Etla
615,electricista,74.8,secundaria,2024-11-05,Salina Cruz
616,tec. en electricidad,82.1,especialidad,2024-11-25,Ocotlan
617,transportista,90.2,doctorado,2024-08-10,Puerto Escondido
618,abogado,43.6,doctorado,2024-06-21,Etla
619,chef,82.9,tecnico,2024-05-10,Pochutla
620,analista,70.4,lic.incompleta,2024-12-20,Crucecita
621,capacitador,49.7,especialidad,2024-07-01,Xoxocotlan
622,enfermero,90.5,doctorado,2024-06-29,Xoxocotlan
623,chef,76.3,prof.univ.,2024-08-06,Huatulco
624,conductor,50.3,bachillerato,2024-08-21,Santiago
625,vendedor,84.7,especialidad,2024-02-24,Santa Catarina
626,asistente administrativo,80.8,prof.univ.,2024-02-10,Puerto Escondido
627,representante comercial,51.1,especialidad,2024-06-20,Salina Cruz
628,gerente,81.1,maestria,2024-11-21,Tututepec
629,plomero,93.1,doctorado,2024-05-21,oaxaca capital
630,coordinador,62.4,lic.incompleta,2024-01-04,Santa Catarina
631,coordinador,60.9,primaria,2024-05-09,Huajuapan
632,psicólogo,91.5,doctorado,2024-11-02,San Juan
633,abogado,52.2,prof.univ.,2024-07-06,Huatulco
634,gerente,41.6,prof.univ.,2024-11-12,Crucecita
635,guardia de seguridad,84.2,primaria,2024-07-24,Tututepec
636,docente,84.1,doctorado,2024-12-30,oaxaca capital
637,asistente administrativo,49.2,lic.incompleta,2024-10-16,oaxaca capital
638,diseñador grafico,82.8,lic.incompleta,2024-12-28,Crucecita
639,cocinero,76.2,licenciatura completa,2024-01-30,Huatulco
640,consultor,72.5,lic.incompleta,2024-11-16,San Juan
641,académico,78.4,bachillerato,2024-03-08,Huajuapan
642,pintor,69.0,bachillerato,2024-04-19,Tututepec
643,guardia de seguridad,62.7,primaria,2024-06-08,Xoxocotlan
644,investigador,76.7,especialidad,2024-01-08,Puerto Escondido
645,técnico en telecomunicaciones,68.4,lic.incompleta,2024-01-21,San Pablo Etla
646,arquitecto,75.5,licenciatura completa,2024-01-26,Huajuapan
647,maestro de obra,89.0,prof.univ.,2024-06-20,Huajuapan
648,gerente,89.3,prof.univ.,2024-07-01,Santiago
649,dentista,79.8,maestria,2024-04-01,Pochutla
650,electricista,94.7,secundaria,2024-04-09,Lachixio
651,economista,68.4,secundaria,2024-10-12,Tututepec
652,jardinero,55.7,maestria,2024-10-05,juarez
653,soldador,52.0,bachillerato,2024-11-24,Ixtlan
654,ejecutivo de ventas,70.9,doctorado,2024-07-19,Santa Catarina
655,transportista,52.6,secundaria,2024-04-26,San Juan
656,coordinador,77.0,tecnico,2024-08-13,Ocotlan
657,contador,58.3,prof.univ.,2024-01-12,Xoxocotlan
658,supervisor,75.1,primaria,2024-06-11,Lachixio
659,técnico en telecomunicaciones,55.9,tecnico,2024-08-21,Crucecita
660,cocinero,84.7,tecnico,2024-03-17,Ocotlan
661,abogado,40.5,especialidad,2024-11-27,San Pablo Etla
662,profesor,74.7,lic.incompleta,2024-03-19,San Juan
663,supervisor,42.1,licenciatura completa,2024-12-24,Xoxocotlan
664,representante comercial,49.6,licenciatura completa,2024-05-18,Etla
665,transportista,83.8,licenciatura completa,2024-11-09,Santa Catarina
666,técnico en telecomunicaciones,75.8,lic.incompleta,2024-11-15,Salina Cruz
667,pintor,58.6,bachillerato,2024-08-18,Ocotlan
668,académico,85.8,lic.incompleta,2024-02-10,Ocotlan
669,coordinador,91.2,licenciatura completa,2024-09-25,oaxaca capital
670,profesor,87.9,doctorado,2024-09-15,juarez
671,académico,47.4,primaria,2024-02-04,Santa Catarina
672,electricista,72.7,tecnico,2024-03-22,Ixtlan
673,asistente administrativo,77.1,prof.univ.,2024-06-10,Huajuapan
674,representante comercial,64.3,doctorado,2024-01-09,Pochutla
675,profesor,59.6,licenciatura completa,2024-10-10,Santa Catarina
676,investigador,67.0,tecnico,2024-09-24,oaxaca capital
677,carpintero,66.6,bachillerato,2024-08-30,Ocotlan
678,ingeniero de sistemas,69.9,primaria,2024-08-20,Ocotlan
679,técnico en electrónica,83.7,especialidad,2024-12-26,Ocotlan
680,representante comercial,75.3,lic.incompleta,2024-02-12,Huajuapan
681,mecanico,61.0,doctorado,2024-01-15,San Juan
682,economista,55.2,primaria,2024-06-30,Crucecita
683,dentista,71.2,maestria,2024-03-07,San Juan
684,ingeniero de sistemas,72.7,bachillerato,2024-04-23,Huajuapan
685,programador,70.6,especialidad,2024-01-09,Huatulco
686,jardinero,81.5,bachillerato,2024-05-27,Ocotlan
687,chef,79.5,especialidad,2024-01-10,Santa Catarina
688,carpintero,46.1,secundaria,2024-12-06,Huatulco
689,técnico de mantenimiento,60.8,licenciatura completa,2024-10-16,Xoxocotlan
690,abogado,82.9,tecnico,2024-05-02,Ocotlan
691,economista,62.5,primaria,2024-04-28,Huatulco
692,programador,73.9,doctorado,2024-12-06,Macuiltianguis
693,vendedor,46.9,doctorado,2024-04-05,Crucecita
694,técnico en telecomunicaciones,71.1,secundaria,2024-08-25,Macuiltianguis
695,camarero,52.7,especialidad,2024-11-05,San Juan
696,gerente,73.5,lic.incompleta,2024-09-09,Santiago
697,capacitador,68.9,doctorado,2024-06-22,Salina Cruz
698,investigador,43.1,bachillerato,2024-07-12,juarez
699,contador,77.2,secundaria,2024-02-16,Santa Catarina
700,vendedor,76.3,licenciatura completa,2024-07-27,Ocotlan
701,soldador,62.7,lic.incompleta,2024-09-29,Pochutla
702,consultor,47.3,licenciatura completa,2024-09-30,Huatulco
703,técnico en electrónica,74.6,primaria,2024-07-02,juarez
704,técnico en telecomunicaciones,41.9,secundaria,2024-01-26,Santiago
705,conductor,63.8,lic.incompleta,2024-09-24,San Juan
706,camarero,62.5,prof.univ.,2024-12-20,Tututepec
707,técnico en telecomunicaciones,49.8,especialidad,2024-01-03,Santiago
708,analista,83.4,primaria,2024-06-27,Tlacolula
709,conductor,72.4,prof.univ.,2024-05-21,Pochutla
710,pintor,46.0,primaria,2024-11-01,Macuiltianguis
711,coordinador,49.9,especialidad,2024-07-30,Lachixio
712,vendedor,54.2,lic.incompleta,2024-07-12,Pochutla
713,académico,53.2,primaria,2024-05-19,Salina Cruz
714,carpintero,71.2,especialidad,2024-12-12,San Pablo Etla
715,capacitador,62.2,lic.incompleta,2024-12-07,Pochutla
716,contador,87.1,maestria,2024-02-25,Ixtlan
717,representante comercial,40.4,bachillerato,2024-02-22,Lachixio
718,analista,77.6,secundaria,2024-01-18,Etla
719,transportista,49.1,maestria,2024-03-04,Ixtlan
720,académico,69.0,especialidad,2024-03-11,Etla
721,ejecutivo de ventas,48.7,primaria,2024-04-09,Puerto Escondido
722,docente,80.8,primaria,2024-04-20,Tututepec
723,ejecutivo de ventas,50.7,prof.univ.,2024-06-02,Santiago
724,consultor,61.5,maestria,2024-07-20,Ixtlan
725,maestro de obra,75.9,bachillerato,2024-10-14,Macuiltianguis
726,abogado,93.4,especialidad,2024-07-30,Lachixio
727,técnico de mantenimiento,92.4,primaria,2024-01-19,San Juan
728,guardia de seguridad,82.2,primaria,2024-07-08,San Pablo Etla
729,vendedor,70.5,primaria,2024-02-27,Crucecita
730,técnico en telecomunicaciones,83.4,especialidad,2024-02-17,Salina Cruz
731,cocinero,42.4,lic.incompleta,2024-06-13,Macuiltianguis
732,coordinador,62.8,especialidad,2024-09-18,Xoxocotlan
733,gerente,84.5,licenciatura completa,2024-03-05,Crucecita
734,chef,95.0,especialidad,2024-03-19,Ocotlan
735,investigador,62.6,bachillerato,2024-06-27,San Pablo Etla
736,transportista,69.4,secundaria,2024-09-25,oaxaca capital
737,transportista,50.5,bachillerato,2024-07-23,Ocotlan
738,camarero,79.9,bachillerato,2024-07-31,Huatulco
739,programador,83.8,doctorado,2024-01-24,juarez
740,cocinero,76.5,tecnico,2024-12-04,Etla
741,conductor,45.1,secundaria,2024-07-19,Crucecita
742,diseñador grafico,87.3,tecnico,2024-04-11,Tututepec
743,vendedor,63.9,doctorado,2024-09-16,Santiago
744,supervisor,90.4,lic.incompleta,2024-01-02,oaxaca capital
745,ingeniero de sistemas,68.7,maestria,2024-12-16,Puerto Escondido
746,vendedor,68.6,lic.incompleta,2024-11-16,Ixtlan
747,abogado,59.2,bachillerato,2024-06-05,Santa Catarina
748,gerente,88.1,maestria,2024-04-30,Crucecita
749,supervisor,56.7,maestria,2024-11-18,San Juan
750,investigador,88.6,bachillerato,2024-05-14,Lachixio
751,representante comercial,78.0,prof.univ.,2024-04-03,juarez
752,ingeniero de sistemas,81.7,prof.univ.,2024-05-13,Salina Cruz
753,asistente administrativo,43.7,secundaria,2024-10-01,San Juan
754,contador,90.2,lic.incompleta,2024-01-09,Santa Catarina
755,jardinero,90.1,licenciatura completa,2024-03-10,Puerto Escondido
756,contador,66.7,prof.univ.,2024-07-16,Xoxocotlan
757,pintor,45.4,prof.univ.,2024-08-13,Tututepec
758,guardia de seguridad,88.7,lic.incompleta,2024-06-04,San Juan
759,contador,61.8,secundaria,2024-12-05,Salina Cruz
760,coordinador,93.2,tecnico,2024-11-10,Santa Catarina
761,ingeniero de sistemas,44.6,secundaria,2024-08-20,Puerto Escondido
762,ingeniero de sistemas,40.3,maestria,2024-09-16,San Pablo Etla
763,dentista,60.9,primaria,2024-08-08,Ixtlan
764,supervisor,42.6,prof.univ.,2024-10-12,oaxaca capital
765,enfermero,45.6,licenciatura completa,2024-06-17,San Juan
766,conductor,79.0,primaria,2024-10-09,San Juan
767,académico,67.9,secundaria,2024-07-11,Tututepec
768,profesor,86.0,especialidad,2024-06-16,Macuiltianguis
769,técnico en telecomunicaciones,70.8,especialidad,2024-04-25,juarez
770,consultor,52.5,primaria,2024-05-21,Tututepec
771,enfermero,78.0,maestria,2024-10-23,Tututepec
772,diseñador grafico,72.0,primaria,2024-12-05,Tlacolula
773,supervisor,76.7,secundaria,2024-10-12,Etla
774,diseñador grafico,54.7,secundaria,2024-04-02,San Juan
775,auditor,69.7,especialidad,2024-08-30,Ocotlan
776,gerente,59.7,especialidad,2024-03-01,Salina Cruz
777,contador,71.3,especialidad,2024-07-27,Lachixio
778,gerente,62.4,bachillerato,2024-08-15,Lachixio
779,conductor,83.7,maestria,2024-09-24,Salina Cruz
780,técnico de mantenimiento,94.1,doctorado,2024-03-16,Crucecita
781,investigador,90.9,licenciatura completa,2024-01-29,Crucecita
782,contador,56.6,secundaria,2024-12-11,Ocotlan
783,contador,94.5,doctorado,2024-10-02,Huatulco
784,capacitador,94.0,lic.incompleta,2024-08-03,San Juan
785,técnico en telecomunicaciones,88.6,maestria,2024-11-22,Huatulco
786,profesor,70.1,especialidad,2024-10-23,San Pablo Etla
787,técnico de mantenimiento,92.8,primaria,2024-11-24,Puerto Escondido
788,plomero,80.8,maestria,2024-06-30,San Pablo Etla
789,soldador,53.6,lic.incompleta,2024-08-28,Santiago
790,supervisor,47.7,secundaria,2024-10-26,Lachixio
791,diseñador grafico,74.6,doctorado,2024-09-25,Crucecita
792,conductor,62.5,tecnico,2024-09-28,San Juan
793,contador,63.4,bachillerato,2024-07-01,Ocotlan
794,consultor,78.1,primaria,2024-12-14,Huatulco
795,técnico en telecomunicaciones,70.6,especialidad,2024-09-13,Tlacolula
796,economista,75.0,bachillerato,2024-04-17,Tututepec
797,abogado,83.0,lic.incompleta,2024-06-19,Tututepec
798,académico,78.1,especialidad,2024-01-30,Pochutla
799,ejecutivo de ventas,93.0,maestria,2024-08-24,San Juan
800,tec. en electricidad,44.8,doctorado,2024-09-15,Etla
801,consultor,68.1,doctorado,2024-02-09,Puerto Escondido
802,enfermero,46.4,especialidad,2024-07-21,oaxaca capital
803,académico,52.0,doctorado,2024-03-09,San Juan
804,auditor,66.3,secundaria,2024-01-10,Lachixio
805,chef,65.5,primaria,2024-03-01,Santa Catarina
806,contador,56.7,tecnico,2024-11-28,Salina Cruz
807,chef,64.8,tecnico,2024-04-10,Santa Catarina
808,coordinador,84.6,prof.univ.,2024-07-28,oaxaca capital
809,dentista,44.5,tecnico,2024-04-11,Santiago
810,camarero,45.0,maestria,2024-01-13,Ixtlan
811,asistente administrativo,55.6,primaria,2024-09-10,San Pablo Etla
812,guardia de seguridad,77.2,bachillerato,2024-07-31,Macuiltianguis
813,académico,55.6,prof.univ.,2024-11-14,Santa Catarina
814,técnico de mantenimiento,75.0,licenciatura completa,2024-01-13,Tlacolula
815,transportista,65.7,tecnico,2024-11-02,San Pablo Etla
816,consultor,86.9,maestria,2024-07-18,Tututepec
817,chef,50.0,especialidad,2024-11-14,oaxaca capital
818,profesor,79.4,lic.incompleta,2024-06-05,San Juan
819,investigador,66.3,secundaria,2024-02-05,Huatulco
820,representante comercial,88.5,bachillerato,2024-02-15,Xoxocotlan
821,representante comercial,64.9,lic.incompleta,2024-01-10,Pochutla
822,conductor,43.0,tecnico,2024-02-27,Tlacolula
823,gerente,45.7,especialidad,2024-04-26,Macuiltianguis
824,pintor,79.7,tecnico,2024-04-06,Lachixio
825,tec. en electricidad,65.4,prof.univ.,2024-12-18,Etla
826,capacitador,72.3,secundaria,2024-11-04,Etla
827,electricista,92.6,tecnico,2024-11-13,Macuiltianguis
828,docente,53.2,bachillerato,2024-02-15,Huatulco
829,abogado,79.7,tecnico,2024-10-28,Ixtlan
830,abogado,70.9,primaria,2024-07-26,Etla
831,asistente administrativo,47.3,primaria,2024-01-05,Pochutla
832,economista,66.5,primaria,2024-10-27,San Juan
833,técnico en electrónica,76.5,secundaria,2024-10-29,oaxaca capital
834,plomero,93.8,maestria,2024-04-24,Crucecita
835,diseñador grafico,40.7,tecnico,2024-12-07,San Pablo Etla
836,abogado,58.1,licenciatura completa,2024-10-19,Xoxocotlan
837,tec. en electricidad,56.8,secundaria,2024-11-07,Huajuapan
838,carpintero,61.4,bachillerato,2024-11-27,Tututepec
839,técnico en telecomunicaciones,53.1,especialidad,2024-03-25,Crucecita
840,investigador,85.5,maestria,2024-05-18,Lachixio
841,electricista,77.9,prof.univ.,2024-08-17,Xoxocotlan
842,vendedor,92.1,prof.univ.,2024-08-12,Pochutla
843,soldador,88.5,lic.incompleta,2024-12-27,Ocotlan
844,electricista,73.9,lic.incompleta,2024-08-24,San Pablo Etla
845,maestro de obra,46.2,bachillerato,2024-05-14,oaxaca capital
846,contador,67.9,maestria,2024-05-20,Puerto Escondido
847,soldador,90.9,doctorado,2024-03-02,Salina Cruz
848,contador,44.9,prof.univ.,2024-09-14,Crucecita
849,tec. en electricidad,57.2,maestria,2024-05-11,Lachixio
850,técnico en telecomunicaciones,93.0,licenciatura completa,2024-06-07,Pochutla
851,soldador,53.0,lic.incompleta,2024-03-10,juarez
852,vendedor,73.2,lic.incompleta,2024-08-24,Pochutla
853,tec. en electricidad,48.0,secundaria,2024-11-14,Ocotlan
854,técnico en electrónica,59.4,bachillerato,2024-08-18,Salina Cruz
855,ejecutivo de ventas,45.4,bachillerato,2024-01-10,Pochutla
856,ingeniero de sistemas,78.7,especialidad,2024-02-26,Macuiltianguis
857,camarero,46.7,secundaria,2024-07-24,Ixtlan
858,programador,44.7,bachillerato,2024-04-15,Crucecita
859,abogado,82.8,maestria,2024-06-30,Santa Catarina
860,técnico de mantenimiento,76.9,maestria,2024-08-13,Macuiltianguis
861,maestro de obra,78.8,lic.incompleta,2024-11-17,Macuiltianguis
862,docente,65.2,prof.univ.,2024-02-18,Tlacolula
863,supervisor,73.4,lic.incompleta,2024-10-26,Salina Cruz
864,soldador,45.6,doctorado,2024-05-16,Santa Catarina
865,auditor,81.5,bachillerato,2024-12-07,San Pablo Etla
866,académico,93.9,maestria,2024-04-18,oaxaca capital
867,académico,56.2,prof.univ.,2024-02-22,San Juan
868,técnico en electrónica,68.9,primaria,2024-09-19,Macuiltianguis
869,asistente administrativo,84.8,bachillerato,2024-08-14,Lachixio
870,ingeniero de sistemas,56.5,doctorado,2024-07-03,Salina Cruz
871,electricista,77.3,bachillerato,2024-03-26,Xoxocotlan
872,cocinero,93.7,doctorado,2024-10-17,Santa Catarina
873,dentista,61.6,maestria,2024-06-09,Tlacolula
874,dentista,42.0,prof.univ.,2024-09-18,Ixtlan
875,investigador,44.3,lic.incompleta,2024-10-11,Tlacolula
876,representante comercial,78.2,doctorado,2024-06-19,juarez
877,conductor,67.7,bachillerato,2024-04-21,Macuiltianguis
878,contador,64.6,licenciatura completa,2024-05-21,Pochutla
879,mecanico,81.1,especialidad,2024-07-29,Huajuapan
880,técnico en telecomunicaciones,82.7,primaria,2024-12-18,Crucecita
881,cocinero,86.7,doctorado,2024-01-07,Etla
882,capacitador,92.2,secundaria,2024-12-26,Santiago
883,profesor,71.1,doctorado,2024-10-03,Tututepec
884,programador,77.1,lic.incompleta,2024-04-19,Salina Cruz
885,chef,76.2,primaria,2024-10-11,Santiago
886,camarero,56.5,licenciatura completa,2024-03-26,Huajuapan
887,pintor,62.8,especialidad,2024-03-14,San Pablo Etla
888,mecanico,43.9,maestria,2024-10-23,Tlacolula
889,asistente administrativo,91.8,secundaria,2024-10-19,Tlacolula
890,consultor,70.3,doctorado,2024-12-06,Ixtlan
891,carpintero,90.7,prof.univ.,2024-08-03,Salina Cruz
892,jardinero,66.0,especialidad,2024-10-07,Xoxocotlan
893,conductor,67.5,especialidad,2024-08-24,oaxaca capital
894,investigador,51.9,primaria,2024-10-27,San Pablo Etla
895,académico,51.9,especialidad,2024-04-26,San Pablo Etla
896,jardinero,78.6,secundaria,2024-12-16,Pochutla
897,gerente,94.1,tecnico,2024-07-16,Huatulco
